,rank/position,player name,Team,rating,career best rating
26,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/221"">Mitchell Marsh</a>","<span class=""table-body__logo-text"">AUS</span>","<td class=""table-body__cell rating"">552</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
27,"
                                    28
                                ","<a href=""/rankings/mens/player-rankings/1125"">Lokesh Rahul</a>","<span class=""table-body__logo-text"">IND</span>","<td class=""table-body__cell rating"">548</td>","<span class=""rankings-table__pos-number"">
                                    28
                                </span>"
28,"
                                    29
                                ","<a href=""/rankings/mens/player-rankings/431"">Martin Guptill</a>","<span class=""table-body__logo-text"">NZ</span>","<td class=""table-body__cell rating"">547</td>","<span class=""rankings-table__pos-number"">
                                    29
                                </span>"
29,"
                                    30
                                ","<a href=""/rankings/mens/player-rankings/107"">Rohit Sharma</a>","<span class=""table-body__logo-text"">IND</span>","<td class=""table-body__cell rating"">545</td>","<span class=""rankings-table__pos-number"">
                                    30
                                </span>"
30,"
                                    31
                                ","<a href=""/rankings/mens/player-rankings/3761"">Shubman Gill</a>","<span class=""table-body__logo-text"">IND</span>","<td class=""table-body__cell rating"">542</td>","<span class=""rankings-table__pos-number"">
                                    31
                                </span>"
31,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/187"">David Miller</a>","<span class=""table-body__logo-text"">SA</span>","<td class=""table-body__cell rating"">542</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
32,"
                                    33
                                ","<a href=""/rankings/mens/player-rankings/526"">Paul Stirling</a>","<span class=""table-body__logo-text"">IRE</span>","<td class=""table-body__cell rating"">541</td>","<span class=""rankings-table__pos-number"">
                                    33
                                </span>"
33,"
                                    34
                                ","<a href=""/rankings/mens/player-rankings/"">Kariyawasa Asalanka</a>","<span class=""table-body__logo-text"">SL</span>","<td class=""table-body__cell rating"">539</td>","<span class=""rankings-table__pos-number"">
                                    34
                                </span>"
34,"
                                    35
                                ","<a href=""/rankings/mens/player-rankings/5134"">Hazratullah</a>","<span class=""table-body__logo-text"">AFG</span>","<td class=""table-body__cell rating"">537</td>","<span class=""rankings-table__pos-number"">
                                    35
                                </span>"
35,"
                                    36
                                ","<a href=""/rankings/mens/player-rankings/1670"">Kusal Mendis</a>","<span class=""table-body__logo-text"">SL</span>","<td class=""table-body__cell rating"">530</td>","<span class=""rankings-table__pos-number"">
                                    36
                                </span>"
36,"
                                    37
                                ","<a href=""/rankings/mens/player-rankings/282"">Glenn Maxwell</a>","<span class=""table-body__logo-text"">AUS</span>","<td class=""table-body__cell rating"">527</td>","<span class=""rankings-table__pos-number"">
                                    37
                                </span>"
37,"
                                    38
                                ","<a href=""/rankings/mens/player-rankings/620"">Najibullah Zadran</a>","<span class=""table-body__logo-text"">AFG</span>","<td class=""table-body__cell rating"">521</td>","<span class=""rankings-table__pos-number"">
                                    38
                                </span>"
38,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/170"">David Warner</a>","<span class=""table-body__logo-text"">AUS</span>","<td class=""table-body__cell rating"">521</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
39,"
                                    40
                                ","<a href=""/rankings/mens/player-rankings/964"">Marcus Stoinis</a>","<span class=""table-body__logo-text"">AUS</span>","<td class=""table-body__cell rating"">519</td>","<span class=""rankings-table__pos-number"">
                                    40
                                </span>"
40,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/1404"">Tony Ura</a>","<span class=""table-body__logo-text"">PNG</span>","<td class=""table-body__cell rating"">519</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
41,"
                                    42
                                ","<a href=""/rankings/mens/player-rankings/877"">Bhanuka Rajapaksa</a>","<span class=""table-body__logo-text"">SL</span>","<td class=""table-body__cell rating"">517</td>","<span class=""rankings-table__pos-number"">
                                    42
                                </span>"
42,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/2876"">Dasun Shanaka</a>","<span class=""table-body__logo-text"">SL</span>","<td class=""table-body__cell rating"">517</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
43,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/2781"">Max O'Dowd</a>","<span class=""table-body__logo-text"">NED</span>","<td class=""table-body__cell rating"">517</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
44,"
                                    45
                                ","<a href=""/rankings/mens/player-rankings/440"">Kane Williamson</a>","<span class=""table-body__logo-text"">NZ</span>","<td class=""table-body__cell rating"">513</td>","<span class=""rankings-table__pos-number"">
                                    45
                                </span>"
45,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/4822"">Ibrahim Zadran</a>","<span class=""table-body__logo-text"">AFG</span>","<td class=""table-body__cell rating"">513</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
46,"
                                    47
                                ","<a href=""/rankings/mens/player-rankings/"">Ishan Kishan</a>","<span class=""table-body__logo-text"">IND</span>","<td class=""table-body__cell rating"">498</td>","<span class=""rankings-table__pos-number"">
                                    47
                                </span>"
47,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/1542"">Ben Duckett</a>","<span class=""table-body__logo-text"">ENG</span>","<td class=""table-body__cell rating"">498</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
48,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/1735"">Moeen Ali</a>","<span class=""table-body__logo-text"">ENG</span>","<td class=""table-body__cell rating"">498</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
49,"
                                    50
                                ","<a href=""/rankings/mens/player-rankings/4502"">Afif Hossain</a>","<span class=""table-body__logo-text"">BAN</span>","<td class=""table-body__cell rating"">486</td>","<span class=""rankings-table__pos-number"">
                                    50
                                </span>"
50,"
                                    51
                                ","<a href=""/rankings/mens/player-rankings/2740"">Hardik Pandya</a>","<span class=""table-body__logo-text"">IND</span>","<td class=""table-body__cell rating"">484</td>","<span class=""rankings-table__pos-number"">
                                    51
                                </span>"
51,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/1190"">Andrew Balbirnie</a>","<span class=""table-body__logo-text"">IRE</span>","<td class=""table-body__cell rating"">484</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
52,"
                                    53
                                ","<a href=""/rankings/mens/player-rankings/3123"">Kushal Bhurtel</a>","<span class=""table-body__logo-text"">NEP</span>","<td class=""table-body__cell rating"">478</td>","<span class=""rankings-table__pos-number"">
                                    53
                                </span>"
53,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/2888"">Iftikhar Ahmed</a>","<span class=""table-body__logo-text"">PAK</span>","<td class=""table-body__cell rating"">478</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
54,"
                                    55
                                ","<a href=""/rankings/mens/player-rankings/3333"">Rovman Powell</a>","<span class=""table-body__logo-text"">WI</span>","<td class=""table-body__cell rating"">475</td>","<span class=""rankings-table__pos-number"">
                                    55
                                </span>"
55,"
                                    56
                                ","<a href=""/rankings/mens/player-rankings/3869"">Heinrich Klaasen</a>","<span class=""table-body__logo-text"">SA</span>","<td class=""table-body__cell rating"">470</td>","<span class=""rankings-table__pos-number"">
                                    56
                                </span>"
56,"
                                    57
                                ","<a href=""/rankings/mens/player-rankings/1305"">Shan Masood</a>","<span class=""table-body__logo-text"">PAK</span>","<td class=""table-body__cell rating"">469</td>","<span class=""rankings-table__pos-number"">
                                    57
                                </span>"
57,"
                                    58
                                ","<a href=""/rankings/mens/player-rankings/"">Vriitya Aravind</a>","<span class=""table-body__logo-text"">UAE</span>","<td class=""table-body__cell rating"">468</td>","<span class=""rankings-table__pos-number"">
                                    58
                                </span>"
58,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/1906"">Jason Roy</a>","<span class=""table-body__logo-text"">ENG</span>","<td class=""table-body__cell rating"">468</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
59,"
                                    60
                                ","<a href=""/rankings/mens/player-rankings/"">Dipendra Airee</a>","<span class=""table-body__logo-text"">NEP</span>","<td class=""table-body__cell rating"">466</td>","<span class=""rankings-table__pos-number"">
                                    60
                                </span>"
60,"
                                    61
                                ","<a href=""/rankings/mens/player-rankings/2767"">Navneet Dhaliwal</a>","<span class=""table-body__logo-text"">CAN</span>","<td class=""table-body__cell rating"">460</td>","<span class=""rankings-table__pos-number"">
                                    61
                                </span>"
61,"
                                    62
                                ","<a href=""/rankings/mens/player-rankings/1223"">Gerhard Erasmus</a>","<span class=""table-body__logo-text"">NAM</span>","<td class=""table-body__cell rating"">458</td>","<span class=""rankings-table__pos-number"">
                                    62
                                </span>"
62,"
                                    63
                                ","<a href=""/rankings/mens/player-rankings/618"">Mohammad Nabi</a>","<span class=""table-body__logo-text"">AFG</span>","<td class=""table-body__cell rating"">457</td>","<span class=""rankings-table__pos-number"">
                                    63
                                </span>"
63,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/201"">Shakib Al Hasan</a>","<span class=""table-body__logo-text"">BAN</span>","<td class=""table-body__cell rating"">457</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
64,"
                                    65
                                ","<a href=""/rankings/mens/player-rankings/290"">Matthew Wade</a>","<span class=""table-body__logo-text"">AUS</span>","<td class=""table-body__cell rating"">448</td>","<span class=""rankings-table__pos-number"">
                                    65
                                </span>"
65,"
                                    66
                                ","<a href=""/rankings/mens/player-rankings/1563"">Shreyas Iyer</a>","<span class=""table-body__logo-text"">IND</span>","<td class=""table-body__cell rating"">446</td>","<span class=""rankings-table__pos-number"">
                                    66
                                </span>"
66,"
                                    67
                                ","<a href=""/rankings/mens/player-rankings/872"">Evin Lewis</a>","<span class=""table-body__logo-text"">WI</span>","<td class=""table-body__cell rating"">440</td>","<span class=""rankings-table__pos-number"">
                                    67
                                </span>"
67,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/506"">Jonny Bairstow</a>","<span class=""table-body__logo-text"">ENG</span>","<td class=""table-body__cell rating"">440</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
68,"
                                    69
                                ","<a href=""/rankings/mens/player-rankings/492"">Mahmudullah</a>","<span class=""table-body__logo-text"">BAN</span>","<td class=""table-body__cell rating"">439</td>","<span class=""rankings-table__pos-number"">
                                    69
                                </span>"
69,"
                                    70
                                ","<a href=""/rankings/mens/player-rankings/"">Wesley Madhevere</a>","<span class=""table-body__logo-text"">ZIM</span>","<td class=""table-body__cell rating"">432</td>","<span class=""rankings-table__pos-number"">
                                    70
                                </span>"
